id,name,series,printedTotal,total,legalities,ptcgoCode,releaseDate,updatedAt,symbol,logo
col1,Call of Legends,HeartGold & SoulSilver,95,106,unlimited,CL,2011/02/09,2018/03/04 10:35:00,https://images.pokemontcg.io/col1/symbol.png,https://images.pokemontcg.io/col1/logo.png
bwp,BW Black Star Promos,Black & White,101,101,"unlimited, expanded",PR-BLW,2011/03/01,2020/08/14 09:35:00,https://images.pokemontcg.io/bwp/symbol.png,https://images.pokemontcg.io/bwp/logo.png
bw1,Black & White,Black & White,114,115,"unlimited, expanded",BLW,2011/04/25,2018/11/29 19:56:00,https://images.pokemontcg.io/bw1/symbol.png,https://images.pokemontcg.io/bw1/logo.png
mcd11,McDonald's Collection 2011,Other,12,12,"unlimited, expanded",,2011/06/17,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd11/symbol.png,https://images.pokemontcg.io/mcd11/logo.png
bw2,Emerging Powers,Black & White,98,98,"unlimited, expanded",EPO,2011/08/31,2018/03/04 10:35:00,https://images.pokemontcg.io/bw2/symbol.png,https://images.pokemontcg.io/bw2/logo.png
bw3,Noble Victories,Black & White,101,102,"unlimited, expanded",NVI,2011/11/16,2018/03/04 10:35:00,https://images.pokemontcg.io/bw3/symbol.png,https://images.pokemontcg.io/bw3/logo.png
bw4,Next Destinies,Black & White,99,103,"unlimited, expanded",NXD,2012/02/08,2019/01/28 16:44:00,https://images.pokemontcg.io/bw4/symbol.png,https://images.pokemontcg.io/bw4/logo.png
bw5,Dark Explorers,Black & White,108,111,"unlimited, expanded",DEX,2012/05/09,2018/03/04 10:35:00,https://images.pokemontcg.io/bw5/symbol.png,https://images.pokemontcg.io/bw5/logo.png
mcd12,McDonald's Collection 2012,Other,12,12,"unlimited, expanded",,2012/06/15,2022/10/10 15:12:00,https://images.pokemontcg.io/mcd12/symbol.png,https://images.pokemontcg.io/mcd12/logo.png
bw6,Dragons Exalted,Black & White,124,128,"unlimited, expanded",DRX,2012/08/15,2018/03/04 10:35:00,https://images.pokemontcg.io/bw6/symbol.png,https://images.pokemontcg.io/bw6/logo.png
dv1,Dragon Vault,Black & White,20,21,"unlimited, expanded",DRV,2012/10/05,2019/01/28 16:44:00,https://images.pokemontcg.io/dv1/symbol.png,https://images.pokemontcg.io/dv1/logo.png
bw7,Boundaries Crossed,Black & White,149,153,"unlimited, expanded",BCR,2012/11/07,2018/03/04 10:35:00,https://images.pokemontcg.io/bw7/symbol.png,https://images.pokemontcg.io/bw7/logo.png
bw8,Plasma Storm,Black & White,135,138,"unlimited, expanded",PLS,2013/02/06,2020/08/14 09:35:00,https://images.pokemontcg.io/bw8/symbol.png,https://images.pokemontcg.io/bw8/logo.png
bw9,Plasma Freeze,Black & White,116,122,"unlimited, expanded",PLF,2013/05/08,2018/03/04 10:35:00,https://images.pokemontcg.io/bw9/symbol.png,https://images.pokemontcg.io/bw9/logo.png
bw10,Plasma Blast,Black & White,101,105,"unlimited, expanded",PLB,2013/08/14,2018/03/04 10:35:00,https://images.pokemontcg.io/bw10/symbol.png,https://images.pokemontcg.io/bw10/logo.png
